BF,FIS,O1,BS,SIS,O2,WT
DC,224,20,GT,220,20,DC
CSK,210,20,LSG,213,19.3,LSG
MI,179,20,RR,183,18.4,RR
PBKS,142,20,GT,146,19.1,GT
KKR,222,20,RCB,221,20,KKR
SRH,266,20,DC,199,19.1,SRH
CSK,176,20,LSG,180,19,LSG
MI,192,20,PBKS,183,19.1,MI
GT,89,17.3,DC,92,8.5,DC
KKR,223,20,RR,224,20,RR
SRH,287,20,RCB,262,20,SRH
CSK,206,20,MI,186,20,CSK
LSG,161,20,KKR,162,15.4,KKR
PBKS,147,20,RR,152,19.5,RR
LSG,167,20,DC,170,18.1,DC
RCB,196,20,MI,199,15.3,MI
RR,196,20,GT,199,20,GT
SRH,182,20,PBKS,180,20,SRH
KKR,137,20,CSK,141,17.4,CSK
LSG,163,20,GT,130,18.5,LSG
MI,234,20,DC,205,20,MI
RCB,183,20,RR,189,19.1,RR
CSK,165,20,SRH,166,18.1,SRH
GT,199,20,PBKS,200,19.5,PBKS
KKR,272,20,DC,166,17.2,KKR
LSG,181,20,RCB,153,19.4,LSG
MI,125,20,RR,127,15.3,RR
DC,191,20,CSK,171,20,DC
SRH,162,20,GT,168,19.1,GT
LSG,199,20,PBKS,178,20,LSG
RCB,182,20,KKR,186,16.5,KKR
RR,185,20,DC,173,20,RR
SRH,277,20,MI,246,20,SRH
CSK,206,20,GT,143,20,CSK
PBKS,176,20,RCB,178,19.2,RCB
GT,168,20,MI,162,20,GT
RR,193,20,LSG,173,20,RR
KKR,208,20,SRH,204,20,KKR
DC,174,20,PBKS,177,19.2,PBKS
RCB,173,20,CSK,176,18.4,CSK
